Fondo,Fecha,Valor
111,12/16/16,104.9069314
111,12/17/16,104.9264465
111,12/18/16,104.9459605
111,12/19/16,104.9572793
111,12/20/16,104.9789773
111,12/21/16,105.008929
111,12/22/16,104.9809694
111,12/23/16,104.9925228
111,12/24/16,105.0117661
111,12/25/16,105.0310084
111,12/26/16,105.0883517
111,12/27/16,105.1134671
111,12/28/16,105.0753379
111,12/29/16,105.1003245
111,12/30/16,105.1420448
111,12/31/16,105.1609256
111,1/1/17,105.1728777
111,1/2/17,105.1807754
111,1/3/17,105.1799077
111,1/4/17,105.1801872
111,1/5/17,105.1985476
111,1/6/17,105.2202262
111,1/7/17,105.2409982
111,1/8/17,105.2617691
111,1/9/17,105.2825388
111,1/10/17,105.3069062
111,1/11/17,105.3229629
111,1/12/17,105.3405789
111,1/13/17,105.3677143
111,1/14/17,105.3879476
111,1/15/17,105.4081798
111,1/16/17,104.2928737
111,1/17/17,104.3136691
111,1/18/17,104.3314671
111,1/19/17,104.3615401
111,1/20/17,104.3706424
111,1/21/17,104.3922085
111,1/22/17,104.4137735
111,1/23/17,104.4085649
111,1/24/17,104.4144136
111,1/25/17,104.4127977
111,1/26/17,104.4300537
111,1/27/17,104.443917
111,1/28/17,104.4654246
111,1/29/17,104.486931
111,1/30/17,104.5084362
111,1/31/17,104.5127061
111,2/1/17,104.5332196
111,2/2/17,104.5399541
111,2/3/17,104.5537145
111,2/4/17,104.5739502
111,2/5/17,104.5941846
111,2/6/17,104.6036609
111,2/7/17,104.6331991
111,2/8/17,104.6333991
111,2/9/17,104.6462013
111,2/10/17,104.6408187
111,2/11/17,104.6612327
111,2/12/17,104.6816455
111,2/13/17,104.6590245
111,2/14/17,104.6810673
111,2/15/17,104.6877751
111,2/16/17,104.7208652
111,2/17/17,104.7276942
111,2/18/17,104.7479597
111,2/19/17,104.7682241
111,2/20/17,104.7893905
111,2/21/17,104.8052501
111,2/22/17,104.8266479
111,2/23/17,104.8468008
111,2/24/17,104.8593375
111,2/25/17,104.8796359
111,2/26/17,104.8999332
111,2/27/17,104.9202293
111,2/28/17,104.9347458
111,3/1/17,104.9544064
111,3/2/17,104.9685271
111,3/3/17,104.9764348
111,3/4/17,104.9955904
111,3/5/17,105.0147449
111,3/6/17,105.0344961
111,3/7/17,105.0546665
111,3/8/17,105.0739899
111,3/9/17,105.0855781
111,3/10/17,105.1036934
111,3/11/17,105.1233019
111,3/12/17,105.1429093
111,3/13/17,105.1617129
111,3/14/17,105.1756259
111,3/15/17,105.1883213
111,3/16/17,105.198654
111,3/17/17,105.2138307
111,3/18/17,105.2332567
111,3/19/17,105.2526816
111,3/20/17,105.2650427
111,3/21/17,105.282562
111,3/22/17,105.3014933
111,3/23/17,105.32092
111,3/24/17,105.3436088
111,3/25/17,105.3630814
111,3/26/17,105.3825529
111,3/27/17,105.3973188
111,3/28/17,105.4192638
111,3/29/17,105.4359096
111,3/30/17,105.4569509
111,3/31/17,105.4853112
111,4/1/17,105.5101667
111,4/2/17,105.5309672
111,4/3/17,105.5475677
111,4/4/17,105.5603018
111,4/5/17,105.5800229
111,4/6/17,105.6040907
111,4/7/17,105.6226503
111,4/8/17,105.643207
111,4/9/17,105.6637625
111,4/10/17,104.7536372
111,4/11/17,104.775455
111,4/12/17,104.7920463
111,4/13/17,104.81
111,4/14/17,104.8298927
111,4/15/17,104.8497843
111,4/16/17,104.8696748
111,4/17/17,104.8895538
111,4/18/17,104.9075983
111,4/19/17,104.9241959
111,4/20/17,104.9428055
111,4/21/17,104.9557646
111,4/22/17,104.9756457
111,4/23/17,104.9955257
111,4/24/17,105.0249291
111,4/25/17,105.0448625
111,4/26/17,105.0608712
111,4/27/17,105.0795198
111,4/28/17,105.0934821
111,4/29/17,105.1133042
111,4/30/17,105.1381835
111,5/1/17,105.1624974
111,5/2/17,105.1830243
111,5/3/17,105.197659
111,5/4/17,105.2179478
111,5/5/17,105.2329295
111,5/6/17,105.2528147
111,5/7/17,105.2726988
111,5/8/17,105.2915208
111,5/9/17,105.3123538
111,5/10/17,105.3333881
111,5/11/17,105.3504684
111,5/12/17,105.3679298
111,5/13/17,105.3872953
111,5/14/17,105.4066597
111,5/15/17,105.4257721
111,5/16/17,105.4454546
111,5/17/17,105.4635388
111,5/18/17,105.4785862
111,5/19/17,105.4971138
111,5/20/17,105.5160429
111,5/21/17,105.534971
111,5/22/17,105.5532994
111,5/23/17,105.5711445
111,5/24/17,105.5896202
111,5/25/17,105.6064969
111,5/26/17,105.6235744
111,5/27/17,105.6424957
111,5/28/17,105.6614161
111,5/29/17,105.6775803
111,5/30/17,105.6947828
111,5/31/17,105.7174936
111,6/1/17,105.7379538
111,6/2/17,105.7553774
111,6/3/17,105.7757056
111,6/4/17,105.7960327
111,6/5/17,105.8175083
111,6/6/17,105.8199795
111,6/7/17,105.8368883
111,6/8/17,105.8532709
111,6/9/17,105.8726506
111,6/10/17,105.8924392
111,6/11/17,105.9122267
111,6/12/17,105.9305553
111,6/13/17,105.9480688
111,6/14/17,105.9661095
111,6/15/17,105.984086
111,6/16/17,106.0004317
111,6/17/17,106.0179244
111,6/18/17,106.0354163
111,6/19/17,106.0521285
111,6/20/17,106.0662876
111,6/21/17,106.0830971
111,6/22/17,106.1013291
111,6/23/17,106.1172265
111,6/24/17,106.1346178
111,6/25/17,106.1520081
111,6/26/17,106.169043
111,6/27/17,106.1852608
111,6/28/17,106.2019749
111,6/29/17,106.2182258
111,6/30/17,106.2658791
111,7/1/17,106.2960948
111,7/2/17,106.3160075
111,7/3/17,106.3357651
111,7/4/17,106.3458876
111,7/5/17,106.3641087
111,7/6/17,106.3836355
111,7/7/17,106.4027723
111,7/8/17,106.4224382
111,7/9/17,106.4421029
111,7/10/17,106.4611083
111,7/11/17,106.4806018
111,7/12/17,105.0503393
111,7/13/17,105.0692278
111,7/14/17,105.0877656
111,7/15/17,105.1067919
111,7/16/17,105.1258172
111,7/17/17,105.1444205
111,7/18/17,105.1633386
111,7/19/17,105.1821855
111,7/20/17,105.2012022
111,7/21/17,105.2203723
111,7/22/17,105.2393912
111,7/23/17,105.2584091
111,7/24/17,105.2774611
111,7/25/17,105.2964066
111,7/26/17,105.3148596
111,7/27/17,105.3336338
111,7/28/17,105.362009
111,7/29/17,105.3915013
111,7/30/17,105.420992
111,7/31/17,105.4466886
111,8/1/17,105.4676882
111,8/2/17,105.4880437
111,8/3/17,105.5087644
111,8/4/17,105.5299272
111,8/5/17,105.550807
111,8/6/17,105.5716857
111,8/7/17,105.592105
111,8/8/17,105.6128401
111,8/9/17,105.6332643
111,8/10/17,105.6546126
111,8/11/17,105.6760673
111,8/12/17,105.6974688
111,8/13/17,105.7188692
111,8/14/17,105.7408074
111,8/15/17,105.7612264
111,8/16/17,105.7828964
111,8/17/17,105.8027595
111,8/18/17,105.8234103
111,8/19/17,105.84438
111,8/20/17,105.8653486
111,8/21/17,105.8838604
111,8/22/17,105.9018551
111,8/23/17,105.9223964
111,8/24/17,105.9355154
111,8/25/17,105.952241
111,8/26/17,105.9732514
111,8/27/17,105.9942607
111,8/28/17,106.0174649
111,8/29/17,106.0284799
111,8/30/17,106.0423326
111,8/31/17,106.0481673
111,9/1/17,106.0810975
111,9/2/17,106.1033861
111,9/3/17,106.1256734
111,9/4/17,106.136294
111,9/5/17,106.1579238
111,9/6/17,106.1796784
111,9/7/17,106.2008003
111,9/8/17,106.2197753
111,9/9/17,106.2416038
111,9/10/17,106.263431
111,9/11/17,106.2845911
111,9/12/17,106.3006134
111,9/13/17,106.3208542
111,9/14/17,106.3391384
111,9/15/17,106.3595679
111,9/16/17,106.3808059
111,9/17/17,106.4020427
111,9/18/17,106.4222487
111,9/19/17,106.4426126
111,9/20/17,106.4606688
111,9/21/17,106.4817079
111,9/22/17,106.5028516
111,9/23/17,106.5239877
111,9/24/17,106.5451227
111,9/25/17,106.5666968
111,9/26/17,106.5875934
111,9/27/17,106.606603
111,9/28/17,106.6256005
111,9/29/17,106.6444612
111,9/30/17,106.6632937
111,10/1/17,106.6946793
111,10/2/17,106.7052386
111,10/3/17,106.7236206
111,10/4/17,106.7383672
111,10/5/17,106.7543817
111,10/6/17,106.7739197
111,10/7/17,106.7940941
111,10/8/17,106.8142674
111,10/9/17,106.83226
111,10/10/17,105.4944861
111,10/11/17,105.5136917
111,10/12/17,105.5344426
111,10/13/17,105.5513943
111,10/14/17,105.5719517
111,10/15/17,105.592508
111,10/16/17,105.6131228
111,10/17/17,105.632362
111,10/18/17,105.6646565
111,10/19/17,105.6795662
111,10/20/17,105.6962658
111,10/21/17,105.7157696
111,10/22/17,105.7352724
111,10/23/17,105.7532169
111,10/24/17,105.7697935
111,10/25/17,105.7964043
111,10/26/17,105.8092325
111,10/27/17,105.8290678
111,10/28/17,105.8471281
111,10/29/17,105.8651874
111,10/30/17,105.8810575
111,10/31/17,105.8851106
111,11/1/17,105.9053932
111,11/2/17,105.9190525
111,11/3/17,105.9345923
111,11/4/17,105.9546201
111,11/5/17,105.9746468
111,11/6/17,105.9946724
111,11/7/17,106.0131991
111,11/8/17,106.0320031
111,11/9/17,106.051736
111,11/10/17,106.0698173
111,11/11/17,106.0896613
111,11/12/17,106.1095042
111,11/13/17,106.1288775
111,11/14/17,106.1458247
111,11/15/17,106.1604711
111,11/16/17,106.1719537
111,11/17/17,106.1900669
111,11/18/17,106.2073501
111,11/19/17,106.2246324
111,11/20/17,106.2411213
111,11/21/17,106.2523031
111,11/22/17,106.2917572
111,11/23/17,106.3010448
111,11/24/17,106.3212374
111,11/25/17,106.3408386
